AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
,,,,,,,,,,,,Redemptions,-898030.6,-1920095.96,-1927838.35,-296988.35,-719085.02,-1498614.58,-350963.29,-1562228.35,-1653993.4
,,,,,,,,,Access and Select Total,,136,Net Cash Flows,1357404.85,2752154.04,-155016.87,10386555.65,403876.61,-112466.58,481611.71,3257717.67,21176.76
,,,,,,,,,,,,Assets,25151325.14,28695329.25,29769413.01,40420593.75,43333658.69,45278356.73,48326632.67,53954033.07,53964877.5
,,,,,,,,,,,,,,,,,,,,,
,,,F00000Y4DW,US SA Small Blend,,,SMA Small-Cap Core Equity,SMA Single Contract,Access and Select,,,Gross Flows,442000,1532178,2237311,2997601.85,3925066.73,1532929.99,1719221,64345.3,624397
,,,,,,,,,,,,Redemptions,0,-677157,-245432,-599127,-200000,-337330,-1524688,-591941.27,-873054.35
,,,,,,,,,Access and Select Total,,77,Net Cash Flows,442000,855021,1991879,2398474.85,3725066.73,1195599.99,194533,-527595.97,-248657.35
,,,,,,,,,,,,Assets,4520772.98,5512560.16,7976632.52,10912161.79,14886800.66,15891753.61,16791760.08,16896482.26,16930285.3
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0W,US SA Small Value,,,SMA Small-Cap Value Equity,SMA Single Contract,Access and Select,,,Gross Flows,1157828,320990.13,650000,1504102.05,1975203,542029.52,100000,300000,100000
,,,,,,,,,,,,Redemptions,-149521.31,-203288.07,-151887.54,-1369326.38,-635250.08,-933682.13,-2074217.79,-1807715.67,-1409131.64
,,,,,,,,,Access and Select Total,,55,Net Cash Flows,1008306.69,117702.06,498112.46,134775.67,1339952.92,-391652.61,-1974217.79,-1507715.67,-1309131.64
,,,,,,,,,,,,Assets,30984427.39,32201631.51,35119011.39,39257971.34,40656348.64,39414121.3,38815515.01,38807266.8,36983851.35
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Access and Select,,,Gross Flows,25025930.05,30807260.1,26102103.36,24985768.8,12030152.83,8736938.1,9586991.87,6195411.83,6316710.11
,,,,,,,,,,,,Redemptions,-10637167.84,-8654908.35,-7357019.97,-18501628.06,-12654033.58,-11706455.33,-7335421.33,-10397330.13,-30034586.52
,,,,,,,,,Access and Select Total,,1497,Net Cash Flows,14388762.21,22152351.75,18745083.39,6484140.74,-623880.75,-2969517.23,2251570.54,-4201918.3,-23717876.41
,,,,,,,,,,,,Assets,283474458.9,316973661.1,336328043.4,324497222.4,342320171.7,351060970.7,355279484.6,352287693.1,324037818.1
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Access and Select,,,Gross Flows,23244258.43,21581849.53,21514576.03,10582735.88,6357949.16,8904160.88,9997911.06,9618961.57,6715568
,,,,,,,,,,,,Redemptions,-5800768.59,-5013534.17,-11637855.29,-9696265.86,-22606205.1,-6005992.16,-10029515.99,-5523562.79,-13610672.82
,,,,,,,,,Access and Select Total,,1007,Net Cash Flows,17443489.84,16568315.36,9876720.74,886470.02,-16248255.94,2898168.72,-31604.93,4095398.78,-6895104.82
,,,,,,,,,,,,Assets,213984265.1,239853051.7,250611129.7,236498461.6,233706770.4,244779049.4,246000454.1,250590252.9,241437772.3
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Single Contract,Access and Select,,,Gross Flows,0,0,0,0,0,370194,0,272615,0
,,,,,,,,,Access and Select Total,,4,Net Cash Flows,0,0,0,0,0,370194,0,272615,0
,,,,,,,,,,,,Assets,,,,,,374498.54,378835.62,664711.73,629265.12
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA U.S. Select Equity,SMA Single Contract,Access and Select,,,Redemptions,-573826.42,0,0,-124835,0,0,0,0,0
,,,,,,,,,Access and Select Total,,3,Net Cash Flows,-573826.42,0,0,-124835,0,0,0,0,0
,,,,,,,,,,,,Assets,671679.71,673656.2,686807.51,578931.55,609112.58,624622.81,655919.97,700096.22,688357.29
,,,,,,,,,,,,,,,,,,,,,
,Charles Schwab Corporation Total,,,,,,,,,,,Overall Net Cash Flows,33778314.6,43048761.6,40020548.67,30746378.86,16303669.48,29331598.54,22886291.78,20170282.98,-17640377
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Chase Wealth Management,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Discretionary SMA Platform,,,Gross Flows,0,0,0,0,1739535,9994864.11,6773813.82,5140862.41,6172361.69
,,,,,,,,,,,,Redemptions,0,0,0,0,0,-320201.69,-143485.15,-606801.7,-923837.08
,,,,,,,,,Discretionary SMA Platform Total,,193,Net Cash Flows,0,0,0,0,1739535,9674662.42,6630328.67,4534060.71,5248524.61
,,,,,,,,,,,,Assets,,,,,1749361.79,11622720.53,19266046.27,24853124.6,29999426.81
,,,,,,,,,,,,,,,,,,,,,
,Chase Wealth Management Total,,,,,,,,,,,Overall Net Cash Flows,0,0,0,0,1739535,9674662.42,6630328.67,4534060.71,5248524.61
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Citi Private Bank,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Model-Only Contract,Dynamic Allocation Portfolios,,,Gross Flows,0,0,0,0,348496,914688,298984,618737,333987
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-210248,-130909,0
,,,,,,,,,Dynamic Allocation Portfolios Total,,20,Net Cash Flows,0,0,0,0,348496,914688,88736,487828,333987
,,,,,,,,,,,,Assets,,,,,345595,1282920,1440475,1961310,2332548
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Manager Selection Program,,,Gross Flows,405000,100000,3964885,162186,3504492.71,1407721,640484,0,5757447
,,,,,,,,,,,,Redemptions,0,-250458,-153343,-118927.97,-6261,-315142,0,-475829,-355329
,,,,,,,,,Manager Selection Program Total,,36,Net Cash Flows,405000,-150458,3811542,43258.03,3498231.71,1092579,640484,-475829,5402118
,,,,,,,,,,,,Assets,5437337.42,5599323.52,9789967.25,10780916.06,14524471.55,15654943.89,16899929.94,16924024.32,21669441.48
,,,,,,,,,,,,,,,,,,,,,
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Single Contract,Manager Selection Program,,,Gross Flows,505229.89,8050000,0,0,0,0,0,500000,750000
,,,,,,,,,,,,Redemptions,0,-744186,-1807824,-514546,0,-165904,0,-8536578.97,-457284
,,,,,,,,,Manager Selection Program Total,,4,Net Cash Flows,505229.89,7305814,-1807824,-514546,0,-165904,0,-8036578.97,292716
,,,,,,,,,,,,Assets,6069423.48,13689153.85,11875821.19,10674933.75,11228040.73,11376323,11451068.57,3344279.25,3604919.29
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Dynamic Allocation Portfolios,,,Gross Flows,514060,694155,2417910,649286,270359,576024,800785,802398,1128679
,,,,,,,,,,,,Redemptions,-301137,0,-555937,-1107008,-866106,0,-396619,-689958,-343155
,,,,,,,,,Dynamic Allocation Portfolios Total,,84,Net Cash Flows,212923,694155,1861973,-457722,-595747,576024,404166,112440,785524
,,,,,,,,,,,,Assets,6667129,7611900,9433424,8881077,9684398,10601917,11868459,11827370,12762459
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Manager Selection Program,,,Gross Flows,4071220.11,8452599.22,9437339.75,5532993,3916763.27,1305366.6,875908,346705,2494542.02
,,,,,,,,,,,,Redemptions,-4568420.07,-1375426.27,-782441.31,-1291205.93,-6619185.45,-2406842.82,-2272308.6,-795977.8,-3862192.15
,,,,,,,,,Manager Selection Program Total,,147,Net Cash Flows,-497199.96,7077172.95,8654898.44,4241787.07,-2702422.18,-1101476.22,-1396400.6,-449272.8,-1367650.13
,,,,,,,,,,,,Assets,39538888.77,48112162.88,56742473.25,57641792.86,57759669.16,58317358.75,57216473.1,56796316.19,54658384.17
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Dynamic Allocation Portfolios,,,Gross Flows,446912,949087,1326958,305310,776861,1074312,1624810,827252,336453
,,,,,,,,,,,,Redemptions,0,-775911,-160967,-562060,-475465,-1061838,-235130,-723098,-72573
,,,,,,,,,Dynamic Allocation Portfolios Total,,53,Net Cash Flows,446912,173176,1165991,-256750,301396,12474,1389680,104154,263880
,,,,,,,,,,,,Assets,3786168,4056117,5206057,4666560,5206562,5426120,6817698,6881027,7113952
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Manager Selection Program,,,Gross Flows,2175000,3957802,5967641.88,7370006,4166549.33,3147517.52,1120763,2173320.6,250000
,,,,,,,,,,,,Redemptions,-91511.62,-94350.98,-758758.6,-497866.86,-2888799.22,-937652.51,-94217.46,-2674503.21,-2462616.91
,,,,,,,,,Manager Selection Program Total,,86,Net Cash Flows,2083488.38,3863451.02,5208883.28,6872139.14,1277750.11,2209865.01,1026545.54,-501182.61,-2212616.91
,,,,,,,,,,,,Assets,15944234.42,20567883.13,25837372.53,31132479.68,34088454.84,37693037.89,38921057.32,38475007.14,35886912.29
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Dynamic Allocation Portfolios,,,Gross Flows,103674,585269,442937,245440,769266,264886,120383,191863,82066
,,,,,,,,,,,,Redemptions,-181577,-109580,-787602,-69203,-417474,-239121,-499148,-187220,-40228
,,,,,,,,,Dynamic Allocation Portfolios Total,,28,Net Cash Flows,-77903,475689,-344665,176237,351792,25765,-378765,4643,41838
,,,,,,,,,,,,Assets,2187256,2751387,2365004,2534773,2926458,2998089,2708353,2783356,2969530
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Manager Selection Program,,,Gross Flows,0,247475.67,803986,350000,700002,532713,0,407000,0
,,,,,,,,,,,,Redemptions,0,0,0,-95000,-102836.92,-475466.93,-424185.44,-334606.16,-2251707.25
,,,,,,,,,Manager Selection Program Total,,22,Net Cash Flows,0,247475.67,803986,255000,597165.08,57246.07,-424185.44,72393.84,-2251707.25
,,,,,,,,,,,,Assets,8407736.53,9131626.87,9775285.35,9678688.83,10427952.53,10680875.13,10372500.98,10677675.17,7856449.62
,,,,,,,,,,,,,,,,,,,,,
,Citi Private Bank Total,,,,,,,,,,,Overall Net Cash Flows,3078450.31,19686475.64,19354784.72,10359403.24,3076661.72,3621260.86,1350260.5,-8681404.54,1288088.71
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Credit Suisse First Boston,,F00000WJTR,US SA High Yield Bond,,,SMA High Yield,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Redemptions,-6598321,-5615110,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,-6598321,-5615110,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Gross Flows,5211.48,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-29468663,-1189043,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,-29463451.52,-1189043,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA Short Duration,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Redemptions,0,-5619791,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,0,-5619791,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Redemptions,-964101,-1245284,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,-964101,-1245284,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Gross Flows,4678.42,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-24274836.08,-1948122,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,-24270157.66,-1948122,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Preferred Advisor and Discretionary Portfolio Solutions,,,Redemptions,-9382767.89,-1603407,0,0,0,0,0,0,0
,,,,,,,,,Preferred Advisor and Discretionary Portfolio Solutions Total,,-,Net Cash Flows,-9382767.89,-1603407,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Credit Suisse First Boston Total,,,,,,,,,,,Overall Net Cash Flows,-70678799.07,-17220757,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Deutsche Bank,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Advisor Select,,,Gross Flows,200000,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-36400,-17520,-617269,0,0,0,0,0,0
,,,,,,,,,Advisor Select Total,,-,Net Cash Flows,163600,-17520,-617269,0,0,0,0,0,0
,,,,,,,,,,,,Assets,5285823,5426380.73,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Advisor Select,,,Gross Flows,360863.63,300000,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-642325.14,-813140.33,-526204.98,0,0,0,0,0,0
,,,,,,,,,Advisor Select Total,,1,Net Cash Flows,-281461.51,-513140.33,-526204.98,0,0,0,0,0,0
,,,,,,,,,,,,Assets,12626599.26,12572348.22,464511.88,439075.94,464358.78,480951.96,483903.51,485665.42,480606.99
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Advisor Select,,,Gross Flows,150000,1770409.66,587500,0,0,5347370,0,0,0
,,,,,,,,,,,,Redemptions,-155869.29,-599558.18,-973117.81,0,0,-5751.75,-5633.28,-5586.9,-408335.99
,,,,,,,,,Advisor Select Total,,1,Net Cash Flows,-5869.29,1170851.48,-385617.81,0,0,5341618.25,-5633.28,-5586.9,-408335.99
,,,,,,,,,,,,Assets,13994664.58,15778759.95,420057.85,395196.26,417478.31,5874484.56,5902108.6,5911933.08,5448914.64
,,,,,,,,,,,,,,,,,,,,,
,Deutsche Bank Total,,,,,,,,,,,Overall Net Cash Flows,-123730.8,640191.15,-1529091.79,0,0,5341618.25,-5633.28,-5586.9,-408335.99
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Edward Jones,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Advisory Solutions,,,Assets,5229922.46,5835247.32,7082115.47,7403330.26,7828940.64,8152090.89,8711438.69,9442874.48,10111260.6
,,,,,,,,,Advisory Solutions Total,,81,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Envestnet Asset Management,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,1632823,1915906,4067493,4481895,4158786,8712194,12986736,16576851,16694455
,,,,,,,,,,,,Redemptions,-119304,-238597,-776384,-355737,-553103,-809341,-828961,-1624788,-1570198
,,,,,,,,,Third Party Models Program Total,,495,Net Cash Flows,1513519,1677309,3291109,4126158,3605683,7902853,12157775,14952063,15124257
,,,,,,,,,,,,Assets,16070535,18205419,22592624,27901088,33014739,40202125,53258830,70455684,81699250
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,0,158406,0,0,0,364339,398008,780752,3941449
,,,,,,,,,,,,Redemptions,0,0,-158406,0,0,0,0,-110832,-56100
,,,,,,,,,Third Party Models Program Total,,25,Net Cash Flows,0,158406,-158406,0,0,364339,398008,669920,3885349
,,,,,,,,,,,,Assets,111971,276852,124689,127887,127246,549991,1172763,1894996,5366692
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,0,0,0,706493,1818931,1112617,1742434,994953,3019938
,,,,,,,,,Third Party Models Program Total,,64,Net Cash Flows,0,0,0,706493,1818931,1112617,1742434,994953,3019938
,,,,,,,,,,,,Assets,,,,716621,2842563,4247151,6313883,7266703,13064587
,,,,,,,,,,,,,,,,,,,,,
,,,F00000Y4DW,US SA Small Blend,,,SMA Small-Cap Core Equity,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,0,0,1023749,0,249394,0,5700,194026,130164
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-368588,-895425,-274473
,,,,,,,,,Third Party Models Program Total,,131,Net Cash Flows,0,0,1023749,0,249394,0,-362888,-701399,-144309
,,,,,,,,,,,,Assets,,,1063623,787821,1055206,1010336,38552565,39087107,39916282
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,0,0,0,0,0,0,0,0,531455
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,0,-452242
,,,,,,,,,Third Party Models Program Total,,1,Net Cash Flows,0,0,0,0,0,0,0,0,79213
,,,,,,,,,,,,Assets,,,,,,,,,79875
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,6461556,10449390,16751684,6475727,3248167,2430451,1974266,3772229,2531219
,,,,,,,,,,,,Redemptions,-3146710,-6074901,-1242329,-2811994,-2719261,-5813521,-1845786,-8853256,-11898815
,,,,,,,,,Third Party Models Program Total,,163,Net Cash Flows,3314846,4374489,15509355,3663733,528906,-3383070,128480,-5081027,-9367596
,,,,,,,,,,,,Assets,40536079,47481908,65455252,63630697,69410251,66184024,63887461,61141785,49453107
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,4879780,6448192,6794966,2736018,4779979,3237822,3222750,1309035,3366199
,,,,,,,,,,,,Redemptions,-112404,0,-3271813,-1421878,-7124577,-1358416,-1035583,-376136,-8728140
,,,,,,,,,Third Party Models Program Total,,124,Net Cash Flows,4767376,6448192,3523153,1314140,-2344598,1879406,2187167,932899,-5361941
,,,,,,,,,,,,Assets,31975010,44155906,56445914,55073905,54401560,57373573,60835076,61130063,49345520
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Third Party Models Program,,,Gross Flows,383865,100000,1453233,4146712,2434952,755125,837796,719144,866363
,,,,,,,,,,,,Redemptions,-163222,0,0,0,-163436,0,-79151,-953805,-213042
,,,,,,,,,Third Party Models Program Total,,140,Net Cash Flows,220643,100000,1453233,4146712,2271516,755125,758645,-234661,653321
,,,,,,,,,,,,Assets,2130579,2492722,3870975,7844043,10251975,11375291,34929005,36438221,37097027
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Envestnet  Asset Management,,,Gross Flows,0,0,0,0,0,120000,0,2014.83,0
,,,,,,,,,,,,Redemptions,-4500,0,0,0,0,-114911,-137778,0,0
,,,,,,,,,Envestnet  Asset Management Total,,6,Net Cash Flows,-4500,0,0,0,0,5089,-137778,2014.83,0
,,,,,,,,,,,,Assets,1084693.98,1141803.32,1122519.75,1079253.11,1094378.55,1117901.97,994933.9,1030771.2,975003.57
,,,,,,,,,,,,,,,,,,,,,
,Envestnet Asset Management Total,,,,,,,,,,,Overall Net Cash Flows,9811884,12758396,24642193,13957236,6129832,8636359,16871843,11534762.83,7888232
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"FDX Advisors, Inc.",,,,,,SMA CCI Large Cap Growth Equity,SMA Single Contract,Separate Account Management,,,Redemptions,-939447,-2671128,0,0,0,0,0,0,0
,,,,,,,,,Separate Account Management Total,,-,Net Cash Flows,-939447,-2671128,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,2653428.45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA CCI Mid Cap Growth,SMA Single Contract,Separate Account Management,,,Gross Flows,2626.23,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,-1274017,-1115097,0,0,0,0,0,0
,,,,,,,,,Separate Account Management Total,,3,Net Cash Flows,2626.23,-1274017,-1115097,0,0,0,0,0,0
,,,,,,,,,,,,Assets,3663577.01,2538199.64,1529178.24,1499877.36,1636497.37,1697943.12,1802675.73,1922574.06,1965017.35
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Model-Only Contract,Unified Overlay Management Program,,,Gross Flows,0,0,0,0,1472580.44,0,0,0,579402.86
,,,,,,,,,Unified Overlay Management Program Total,,23,Net Cash Flows,0,0,0,0,1472580.44,0,0,0,579402.86
,,,,,,,,,,,,Assets,,,,,1638803.94,1706536.56,2018621.36,2448898.01,2745395.03
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Unified Overlay Management Program,,5,Assets,0.84 million,1.16 million,1.29 million,1.06 million,1.13 million,1.48 million,1.52 million,1.63 million,1.61 million
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Unified Overlay Management Program,,,Gross Flows,0,0,3781509.06,0,0,0,0,0,0
,,,,,,,,,Unified Overlay Management Program Total,,19,Net Cash Flows,0,0,3781509.06,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,,3.83 million,1057054.75,1133668.66,1478835.3,1520852.61,1631841.48,1607427.2
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Unified Overlay Management Program,,40,Assets,7.15 million,10.76 million,11.64 million,6.58 million,8.37 million,9.34 million,9.59 million,10.10 million,6.27 million
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Unified Overlay Management Program,,,Gross Flows,0,0,0,399065.89,0,0,0,0,0
,,,,,,,,,Unified Overlay Management Program Total,,2,Net Cash Flows,0,0,0,399065.89,0,0,0,0,0
,,,,,,,,,,,,Assets,,,3833800.45,11773189.36,12153005.12,12714490.62,12947564.04,12855220.24,15632105.23
,,,,,,,,,,,,,,,,,,,,,
,"FDX Advisors, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,-936820.77,-3945145,2666412.06,399065.89,1472580.44,0,0,0,579402.86
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Fidelity Brokerage Services, LLC",,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Dual Contract,Fidelity Separate Account Network (SAN),,,Gross Flows,0,0,0,250000,0,0,0,0,50000
,,,,,,,,,Fidelity Separate Account Network (SAN) Total,,1,Net Cash Flows,0,0,0,250000,0,0,0,0,50000
,,,,,,,,,,,,Assets,,,,274981.07,279021.22,277899.95,286235.69,293093.87,327381.54
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Dual Contract,Fidelity Separate Account Network (SAN),,,Gross Flows,0,0,0,0,0,0,0,0,2616.29
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,0,-2616.29
,,,,,,,,,Fidelity Separate Account Network (SAN) Total,,6,Net Cash Flows,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,2585789.22,3126267.02,3266633.55,3287840.33,3522774.34,3694579.33,3905890.27,4101648.24,4089331.75
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Fidelity Separate Account Network (SAN),,,Redemptions,0,0,0,0,0,0,0,0,-268349
,,,,,,,,,Fidelity Separate Account Network (SAN) Total,,0,Net Cash Flows,0,0,0,0,0,0,0,0,-268349
,,,,,,,,,,,,Assets,246644.57,255988.52,256846.37,242763.06,256708.36,265973.06,267401.82,268349.39,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Dual Contract,Fidelity Separate Account Network (SAN),,,Gross Flows,0,0,0,0,0,0,0,0,3081.71
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,0,-3081.71
,,,,,,,,,Fidelity Separate Account Network (SAN) Total,,5,Net Cash Flows,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,646411.46,1237332.57,1220604.07,1175727.41,1195682.82,1220493.98,1236506.66,1279034.59,1214827.73
,,,,,,,,,,,,,,,,,,,,,
,"Fidelity Brokerage Services, LLC Total",,,,,,,,,,,Overall Net Cash Flows,0,0,0,250000,0,0,0,0,-218349
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,J.P. Morgan Securities LLC,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Dual Contract,Investment Counseling Service Program,,,Gross Flows,1600824,1750364,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,-20500,-10000,0,0,-30000
,,,,,,,,,Investment Counseling Service Program Total,,6,Net Cash Flows,1600824,1750364,0,0,-20500,-10000,0,0,-30000
,,,,,,,,,,,,Assets,2692660.67,4548178.97,4746419.66,4771375.3,5086278.46,5316157.68,5611900.95,5884531.77,5828426.58
,,,,,,,,,,,,,,,,,,,,,
